Volatility 3 Framework 2.0.0

Offset	Name	Size
0xc70146007e30	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl	216
0xc70146008110	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0xc701460083f0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl	216
0xc70146008420	葸䘀윁￿葸䘀윁￿	17933
0xc70146008560	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION	216
0xc701460089b0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl	216
0xc70146008b20	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA	216
0xc70146009250	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xc701460093c0	\$Extend\$RmMetadata\$Repair	216
0xc701460096a0	TxfLog	216
0xc70146009810	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION	216
0xc70146009980	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xc70146009af0	KtmLog	216
0xc70146009c60	\:$I30:$INDEX_ALLOCATION	216
0xc70146009dd0	\$Extend\$RmMetadata\$TxfLog\$Tops	216
0xc7014607c0c0	\Windows\SysWOW64\ucrtbase.dll	216
0xc7014607c250	\Windows\SysWOW64\sspicli.dll	216
0xc7014607c3e0	\Windows\SysWOW64\msvcrt.dll	216
0xc7014607c570	\Windows\SysWOW64\cryptbase.dll	216
0xc7014607c700	\ProtectedPrefix	216
0xc7014607c890	\Windows\SysWOW64\comdlg32.dll	216
0xc7014607ca20	\Windows\SysWOW64\profapi.dll	216
0xc7014607cbb0	\Windows\SysWOW64\cfgmgr32.dll	216
0xc7014607cd40	\Windows\SysWOW64\user32.dll	216
0xc7014607ced0	\Windows\SysWOW64\crypt32.dll	216
0xc7014607d1f0	\Windows\SysWOW64\ws2_32.dll	216
0xc7014607d380	\Windows\SysWOW64\kernel32.dll	216
0xc7014607d510	\Windows\SysWOW64\sechost.dll	216
0xc7014607d6a0	\Windows\SysWOW64\gdi32full.dll	216
0xc7014607d830	\Windows\SysWOW64\setupapi.dll	216
0xc7014607d9c0	\Windows\SysWOW64\KernelBase.dll	216
0xc7014607db50	\Windows\SysWOW64\win32u.dll	216
0xc7014607dce0	\Windows\SysWOW64\rpcrt4.dll	216
0xc7014607de70	\Windows\SysWOW64\nsi.dll	216
0xc701460930d0	\Windows\System32\config\SOFTWARE	216
0xc70146093260	\ProtectedPrefix\Administrators	216
0xc701460933f0	\ProtectedPrefix\LocalService	216
0xc70146093580	\Sessions	216
0xc70146093710	\Windows\bootstat.dat	216
0xc70146093a30	\Windows\System32\config\SOFTWARE.LOG2	216
0xc70146093d50	\EFI\Microsoft\Boot\BCD	216
0xc70146094200	\EFI\Microsoft\Boot\BCD.LOG	216
0xc70146094390	\ProtectedPrefix\NetWorkService	216
0xc701460946b0	\Windows\System32\config\SYSTEM.LOG2	216
0xc70146094840	\ProtectedPrefix\NetWorkService	216
0xc701460951a0	\$Directory	216
0xc70146095330	\Windows\System32\config\SYSTEM	216
0xc701460954c0	\Windows\System32\config\SYSTEM.LOG1	216
0xc70146095c90	\Windows\System32\autochk.exe	216
0xc70146095e20	\Windows\System32\config\SOFTWARE.LOG1	216
0xc70146096140	\ProtectedPrefix\LocalService	216
0xc701460dd0c0	\$Directory	216
0xc701460dd230	\$Directory	216
0xc701460dd680	\Windows\System32\LogFiles\WMI\NtfsLog.etl	216
0xc701460dd960	\$Directory	216
0xc701460ddad0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl	216
0xc701460de4e0	\Windows\System32\LogFiles\WMI\RadioMgr.etl	216
0xc701460de650	\Windows\System32\LogFiles\WMI\Wifi.etl	216
0xc701460de7c0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl	216
0xc701460de930	\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl	216
0xc701460deaa0	\Windows\System32\WDI\LogFiles\WdiContextLog.etl.003	216
0xc701460dec10	\$Secure:$SDH:$INDEX_ALLOCATION	216
0xc701460deef0	\$Directory	216
0xc701460df060	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl	216
0xc701460df620	\$Directory	216
0xc701460df900	\Windows\System32\LogFiles\WMI\LwtNetLog.etl	216
0xc701460dfa70	\Windows\System32\LogFiles\WMI\NetCore.etl	216
0xc701460dfbe0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl	216
0xc701460dfd50	\Windows\System32\WDI\LogFiles\BootPerfDiagLogger.etl	216
0xc701460e0310	\SystemRoot\System32\Config\TxR\{fd9a35ab-49fe-11e9-aa2c-248a07783950}.TM	216
0xc701460e05f0	\SystemRoot\System32\Config\TxR\{fd9a35ab-49fe-11e9-aa2c-248a07783950}.TM	216
0xc701460e0760	\Windows\System32\drivers\ksthunk.sys	216
0xc701460e08d0	\Windows\System32\config\TxR\{fd9a35ab-49fe-11e9-aa2c-248a07783950}.TMContainer00000000000000000001.regtrans-ms	216
0xc701460e1b80	\Windows\System32\config\TxR\{fd9a35ab-49fe-11e9-aa2c-248a07783950}.TM.blf	216
0xc701460e2140	\$Directory	216
0xc701460e2590	\Windows\System32\config\TxR\{fd9a35ab-49fe-11e9-aa2c-248a07783950}.TMContainer00000000000000000002.regtrans-ms	216
0xc701460e2700	\Windows\System32\drivers\HdAudio.sys	216
0xc701460e33f0	\Windows\System32\drivers\usbccgp.sys	216
0xc701460e3c90	\Windows\System32\drivers\udfs.sys	216
0xc701460e46a0	\Windows\apppatch\drvmain.sdb	216
0xc701460e4af0	\Windows\System32\drivers\vmusbmouse.sys	216
0xc701461150e0	\Windows\System32\scecli.dll	216
0xc70146115400	\Windows\System32\dpapisrv.dll	216
0xc70146115720	\Windows\System32\efslsaext.dll	216
0xc70146115a40	\ntsvcs	216
0xc70146115bd0	\$Directory	216
0xc70146115d60	\scerpc	216
0xc70146115ef0	\Windows\System32\config\SAM	216
0xc70146116080	\scerpc	216
0xc701461163a0	\Windows\System32\authz.dll	216
0xc70146116530	\Windows\System32\profext.dll	216
0xc701461166c0	\Windows\System32\ntmarta.dll	216
0xc701461169e0	\Windows\System32\WUDFPlatform.dll	216
0xc70146116b70	\ntsvcs	216
0xc70146116e90	\scerpc	216
0xc70146117340	\Windows\System32\sspisrv.dll	216
0xc701461174d0	\Windows\System32\scesrv.dll	216
0xc70146117660	\ntsvcs	216
0xc701461177f0	\$Directory	216
0xc70146117b10	\Windows\System32\config\SAM.LOG2	216
0xc70146117ca0	\Windows\System32\kdcpw.dll	216
0xc70146118150	\Windows\System32\config\SAM.LOG1	216
0xc701461182e0	\Windows\System32\fwbase.dll	216
0xc70146118470	\Windows\System32\umpo.dll	216
0xc70146118600	\Windows\System32\umpoext.dll	216
0xc70146118790	\Windows\System32\sppc.dll	216
0xc70146118920	\Windows\System32\tdh.dll	216
0xc70146118c40	\Windows\Fonts\vgasysr.fon	216
0xc70146118dd0	\Windows\System32\mintdh.dll	216
0xc701461190f0	\Windows\System32\fontdrvhost.exe	216
0xc70146119280	\$Directory	216
0xc701461195a0	\Windows\System32\umpnpmgr.dll	216
0xc70146119730	\Windows\System32	216
0xc701461198c0	\Windows\System32\FirewallAPI.dll	216
0xc70146119a50	\Windows\System32	216
0xc70146119be0	\Windows\System32\dxgi.dll	216
0xc70146119d70	\Windows\System32	216
0xc7014611a090	\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523	216
0xc7014611a3b0	\Sessions\0\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523	216
0xc7014611a6d0	\Windows\System32\fontdrvhost.exe	216
0xc7014611a9f0	\$Directory	216
0xc7014611ad10	\Windows\System32\DXCore.dll	216
0xc7014611aea0	\Windows\System32\slc.dll	216
0xc7014611b1c0	\Windows\System32\svchost.exe	216
0xc7014611b350	\Windows\System32\ru-RU\services.exe.mui	216
0xc7014611b990	\Windows\System32\psmsrv.dll	216
0xc7014611bcb0	\CMApi	216
0xc7014611be40	\Windows\System32\ru-RU\svchost.exe.mui	216
0xc7014611c160	\Windows\System32\umpo-overrides.dll	216
0xc7014611c480	\Windows\System32\hid.dll	216
0xc7014611c610	\CMNotify	216
0xc7014611c7a0	\Windows\System32\gpapi.dll	216
0xc7014611c930	\Windows\System32\ole32.dll	216
0xc70146174670	\$PrepareToShrinkFileSize	216
0xc7014617c4f0	\Windows\System32\drivers\wcifs.sys	216
0xc7014617d1e0	\Windows\System32\drivers\luafv.sys	216
0xc7014617d350	\$Directory	216
0xc7014617d7a0	\$Directory	216
0xc7014617d910	\$Directory	216
0xc7014617da80	\Windows\System32\drivers\cldflt.sys	216
0xc7014617e490	\Windows\System32\drivers\rfcomm.sys	216
0xc70146180cd0	\Windows\System32\drivers\bthpan.sys	216
0xc70146181400	\Windows\System32\drivers\storqosflt.sys	216
0xc70146181570	\Windows\System32\drivers\bthenum.sys	216
0xc70146181850	\$PrepareToShrinkFileSize	216
0xc7014619d0e0	\Windows\Fonts\sserifer.fon	216
0xc7014619d270	\CMNotify	216
0xc7014619d400	\Windows\System32\rpcss.dll	216
0xc7014619d590	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{fd9a35db-49fe-11e9-aa2c-248a07783950}.TMContainer00000000000000000001.regtrans-ms	216
0xc7014619da40	\Windows\System32\RpcRtRemote.dll	216
0xc7014619dbd0	\$Directory	216
0xc7014619dd60	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1	216
0xc7014619def0	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2	216
0xc7014619e080	\CMNotify	216
0xc7014619e530	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{fd9a35db-49fe-11e9-aa2c-248a07783950}.TM.blf	216
0xc7014619e6c0	\Device\HarddiskVolume4\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{fd9a35db-49fe-11e9-aa2c-248a07783950}.TM	216
0xc7014619e9e0	\Windows\System32\svchost.exe	216
0xc7014619ed00	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT	216
0xc7014619ee90	\Windows\Fonts\micross.ttf	216
0xc7014619f340	\Windows\System32\SleepStudy\UserNotPresentSession.etl	216
0xc7014619f4d0	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{fd9a35db-49fe-11e9-aa2c-248a07783950}.TMContainer00000000000000000002.regtrans-ms	216
0xc7014619f660	\Device\HarddiskVolume4\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{fd9a35db-49fe-11e9-aa2c-248a07783950}.TM	216
0xc7014619f7f0	\Windows\System32	216
0xc7014619fca0	\Windows\Fonts\marlett.ttf	216
0xc7014619fe30	\Windows\System32\RpcEpMap.dll	216
0xc701461a0470	\Endpoint	216
0xc701461a0600	\Endpoint	216
0xc701461a0790	\Windows\System32\wshqos.dll	216
0xc701461a0920	\Endpoint	216
0xc701461a0ab0	\Winsock2\CatalogChangeListener-1e4-0	216
0xc701461a0c40	\Windows\System32\lsm.dll	216
0xc701461a0dd0	\Winsock2\CatalogChangeListener-280-0	216
0xc701461a1280	\Endpoint	216
0xc701461a1410	\Endpoint	216
0xc701461a15a0	\Endpoint	216
0xc701461a1730	\Windows\System32\dwmapi.dll	216
0xc701461a18c0	\Endpoint	216
0xc701461a1a50	\Endpoint	216
0xc701461a1be0	\Endpoint	216
0xc701461a1d70	\Endpoint	216
0xc701461a2090	\Endpoint	216
0xc701461a2220	\Endpoint	216
0xc701461a23b0	\Endpoint	216
0xc701461a2540	\Windows\System32\ru-RU\mswsock.dll.mui	216
0xc701461a26d0	\Endpoint	216
0xc701461a2860	\epmapper	216
0xc701461a29f0	\epmapper	216
0xc701461a2b80	\Endpoint	216
0xc701461a2d10	\Winsock2\CatalogChangeListener-368-0	216
0xc701461a2ea0	\Endpoint	216
0xc701461a31c0	\Endpoint	216
0xc701461a3350	\Windows\System32\ru-RU\wshqos.dll.mui	216
0xc701461a34e0	\Windows\System32\wer.dll	216
0xc701461a3670	\Windows\System32\PsmServiceExtHost.dll	216
0xc701461a3800	\LSM_API_service	216
0xc701461a3990	\LSM_API_service	216
0xc701461a3b20	\Windows\System32\ResourcePolicyClient.dll	216
0xc701461a4160	\LSM_API_service	216
0xc701461a42f0	\Windows\System32\sysntfy.dll	216
0xc701461a4480	\Windows\System32\rmclient.dll	216
0xc701461a4610	\Windows\System32\UXInit.dll	216
0xc701461a47a0	\Windows\System32\uxtheme.dll	216
0xc701461a4930	\CMNotify	216
0xc701461a4ac0	\Windows\System32\bisrv.dll	216
0xc701461a4c50	\Windows\System32\twinapi.appcore.dll	216
0xc7014620e0b0	\Windows\System32\drivers\usbport.sys	216
0xc7014620f360	\Windows\System32\drivers\usbuhci.sys	216
0xc7014620f7b0	\Windows\System32\drivers\kbdclass.sys	216
0xc7014620fc00	\Windows\System32\drivers\mouclass.sys	216
0xc7014620fee0	\Windows\System32\drivers\serial.sys	216
0xc70146210330	\Windows\System32\drivers\vm3dmp_loader.sys	216
0xc701462104a0	\Windows\System32\drivers\vm3dmp.sys	216
0xc70146210610	\Windows\System32\drivers\serenum.sys	216
0xc70146210780	\Windows\System32\drivers\i8042prt.sys	216
0xc70146210bd0	\Windows\System32\drivers\vmmouse.sys	216
0xc70146211300	\Windows\System32\drivers\drmk.sys	216
0xc70146211470	\Windows\System32\drivers\ks.sys	216
0xc70146211ba0	\Windows\System32\drivers\portcls.sys	216
0xc70146211d10	\Windows\System32\drivers\hdaudbus.sys	216
0xc701462150c0	\Windows\System32\difxapi.dll	216
0xc701462153e0	\ProtectedPrefix\Administrators	216
0xc70146215570	\Windows\System32\msvcrt.dll	216
0xc70146215700	\Windows\System32\psapi.dll	216
0xc70146215bb0	\Windows\System32\kernel32.dll	216
0xc70146215d40	\Windows\System32\comdlg32.dll	216
0xc70146215ed0	\Windows\System32\imm32.dll	216
0xc701462161f0	\Windows\System32\coml2.dll	216
0xc70146216380	\Windows\System32\shlwapi.dll	216
0xc70146216510	\Windows\System32\clbcatq.dll	216
0xc701462166a0	\Windows\System32\combase.dll	216
0xc70146216b50	\Windows	216
0xc70146216ce0	\ProtectedPrefix	216
0xc701462280c0	\Windows\System32\wow64win.dll	216
0xc70146228250	\Windows\System32\ole32.dll	216
0xc701462283e0	\Windows\System32\msctf.dll	216
0xc70146228570	\Windows\System32\gdi32.dll	216
0xc70146228700	\Windows\System32\SHCore.dll	216
0xc70146228890	\Windows\System32\nsi.dll	216
0xc70146228a20	\Windows\System32\Wldap32.dll	216
0xc70146228bb0	\Windows\System32\shell32.dll	216
0xc70146228d40	\Windows\System32\user32.dll	216
0xc70146228ed0	\Windows\System32\wow64cpu.dll	216
0xc70146229510	\Windows\System32\imagehlp.dll	216
0xc701462296a0	\Windows\System32\normaliz.dll	216
0xc70146229830	\Windows\System32\sechost.dll	216
0xc70146229b50	\Windows\System32\GdiPlus.dll	216
0xc70146229ce0	\Windows\System32\setupapi.dll	216
0xc70146229e70	\Windows\System32\rpcrt4.dll	216
0xc701462523a0	\Windows\System32\drivers\e1i65x64.sys	216
0xc70146252c40	\Windows\System32\drivers\USBXHCI.SYS	216
0xc70146253370	\Windows\System32\drivers\usbehci.sys	216
0xc701462541d0	\Windows\System32\drivers\Ucx01000.sys	216
0xc70146254d50	\Windows\System32\drivers\vmgencounter.sys	216
0xc70146255760	\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_9ebb9a8726114d22\swenum.sys	216
0xc70146255a40	\Windows\System32\drivers\rdpbus.sys	216
0xc70146256a10	\Windows\System32\drivers\battc.sys	216
0xc70146256cf0	\Windows\System32\drivers\intelppm.sys	216
0xc70146257420	\Windows\System32\drivers\NdisVirtualBus.sys	216
0xc701462579e0	\Windows\System32\drivers\CmBatt.sys	216
0xc701462860c0	\Windows\System32\wintrust.dll	216
0xc70146286250	\Windows\System32\windows.storage.dll	216
0xc70146286570	\Windows\System32\bcrypt.dll	216
0xc70146286700	\Windows\System32\bcryptprimitives.dll	216
0xc70146286890	\Windows\System32\cfgmgr32.dll	216
0xc70146286a20	\Windows\System32\msvcp_win.dll	216
0xc70146286bb0	\Windows\System32\advapi32.dll	216
0xc701462871f0	\Windows\System32\ws2_32.dll	216
0xc70146287380	\Windows\System32\wow64.dll	216
0xc70146287510	\Windows\System32\win32u.dll	216
0xc701462876a0	\Windows\System32\comctl32.dll	216
0xc701462879c0	\Windows\System32\oleaut32.dll	216
0xc70146287b50	\Windows\System32\KernelBase.dll	216
0xc70146287e70	\Windows\System32\cryptsp.dll	216
0xc701462e40c0	\Windows\System32\gdi32full.dll	216
0xc701462e4250	\Windows\SysWOW64\comctl32.dll	216
0xc701462e43e0	\Windows\System32\crypt32.dll	216
0xc701462e4570	\Windows\System32\ucrtbase.dll	216
0xc701462e4700	\Windows\System32\powrprof.dll	216
0xc701462e4890	\Windows\SysWOW64\combase.dll	216
0xc701462e4a20	\Windows\System32\msasn1.dll	216
0xc701462e4bb0	\Windows\SysWOW64\Wldap32.dll	216
0xc701462e4d40	\Windows\SysWOW64\msasn1.dll	216
0xc701462e4ed0	\Windows\SysWOW64\imm32.dll	216
0xc701462e51f0	\Windows\System32\profapi.dll	216
0xc701462e5380	\Windows\SysWOW64\oleaut32.dll	216
0xc701462e5510	\Windows\SysWOW64\bcryptprimitives.dll	216
0xc701462e56a0	\Windows\System32\umpdc.dll	216
0xc701462e5830	\Windows\SysWOW64\msvcp_win.dll	216
0xc701462e59c0	\Windows\SysWOW64\shlwapi.dll	216
0xc701462e5b50	\Windows\System32\kernel.appcore.dll	216
0xc701462e5ce0	\Windows\SysWOW64\clbcatq.dll	216
0xc701462e5e70	\Windows\SysWOW64\advapi32.dll	216
0xc701462f90c0	\Windows\SysWOW64\cryptsp.dll	216
0xc701462f9250	\Windows\SysWOW64\kernel.appcore.dll	216
0xc701462f93e0	\Windows\SysWOW64\gdi32.dll	216
0xc701462f9570	\Windows\SysWOW64\SHCore.dll	216
0xc701462f9890	\Windows\SysWOW64\windows.storage.dll	216
0xc701462f9bb0	\Windows\SysWOW64\normaliz.dll	216
0xc701462f9d40	\Windows\SysWOW64\ole32.dll	216
0xc701462f9ed0	\Windows\SysWOW64\wintrust.dll	216
0xc701462fa380	\Windows\SysWOW64\shell32.dll	216
0xc701462fa510	\Windows\SysWOW64\psapi.dll	216
0xc701462fa6a0	\Windows\SysWOW64\powrprof.dll	216
0xc701462fa9c0	\Windows\SysWOW64\coml2.dll	216
0xc701462fab50	\Windows\SysWOW64\umpdc.dll	216
0xc701462face0	\Windows\SysWOW64\bcrypt.dll	216
0xc701462fae70	\Windows\SysWOW64\difxapi.dll	216
0xc70146378d50	\$Directory	216
0xc70146378ee0	:$VMCB$	216
0xc7014637a330	\pagefile.sys	216
0xc7014637a4c0	\swapfile.sys	216
0xc7014637a650	\Windows\System32\win32k.sys	216
0xc7014637a970	\Windows\System32\win32kfull.sys	216
0xc7014637ab00	\Windows\System32\drivers\hidparse.sys	216
0xc7014637b2d0	\$Directory	216
0xc7014637b460	\Windows\System32\csrss.exe	216
0xc7014637b910	\Windows\System32\win32kbase.sys	216
0xc7014637baa0	\Windows\System32\ru-RU\win32kbase.sys.mui	216
0xc70146c6f260	\Windows\System32\winsrvext.dll	216
0xc70146c6f3f0	\Windows\System32\ru-RU\csrss.exe.mui	216
0xc70146c6f580	\Windows\System32\mswsock.dll	216
0xc70146c6f710	\Windows\System32	216
0xc70146c6fa30	\Windows\System32\drivers\dxgmms1.sys	216
0xc70146c6fd50	\Windows\System32	216
0xc70146c6fee0	\CMApi	216
0xc70146c70200	\Sessions\0\AppContainerNamedObjects	216
0xc70146c70390	\Windows\System32\csrsrv.dll	216
0xc70146c70520	\Windows\System32\locale.nls	216
0xc70146c70840	\Windows\System32\config\DEFAULT.LOG1	216
0xc70146c709d0	\Windows\System32\config\DEFAULT.LOG2	216
0xc70146c70b60	\Windows\System32\winsrv.dll	216
0xc70146c70e80	\Windows\System32\ru-RU\winsrv.dll.mui	216
0xc70146c71330	\Windows\System32\config\DEFAULT	216
