Volatility 3 Framework 2.0.0

PID	Process	Block	Variable	Value
484	wininit.exe	0x24e51ff15c0	DriverData	C:\Windows\System32\Drivers\DriverData
484	wininit.exe	0x24e51ff15c0	NUMBER_OF_PROCESSORS	2
484	wininit.exe	0x24e51ff15c0	OS	Windows_NT
484	wininit.exe	0x24e51ff15c0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\
484	wininit.exe	0x24e51ff15c0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
484	wininit.exe	0x24e51ff15c0	PROCESSOR_ARCHITECTURE	AMD64
484	wininit.exe	0x24e51ff15c0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
484	wininit.exe	0x24e51ff15c0	PROCESSOR_LEVEL	6
484	wininit.exe	0x24e51ff15c0	PROCESSOR_REVISION	a502
484	wininit.exe	0x24e51ff15c0	ProgramData	C:\ProgramData
484	wininit.exe	0x24e51ff15c0	ProgramFiles	C:\Program Files
484	wininit.exe	0x24e51ff15c0	ProgramFiles(x86)	C:\Program Files (x86)
484	wininit.exe	0x24e51ff15c0	ProgramW6432	C:\Program Files
484	wininit.exe	0x24e51ff15c0	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
484	wininit.exe	0x24e51ff15c0	PUBLIC	C:\Users\Public
484	wininit.exe	0x24e51ff15c0	SystemDrive	C:
484	wininit.exe	0x24e51ff15c0	SystemRoot	C:\Windows
484	wininit.exe	0x24e51ff15c0	TEMP	C:\Windows\TEMP
484	wininit.exe	0x24e51ff15c0	TMP	C:\Windows\TEMP
484	wininit.exe	0x24e51ff15c0	USERNAME	SYSTEM
484	wininit.exe	0x24e51ff15c0	USERPROFILE	C:\Windows\system32\config\systemprofile
484	wininit.exe	0x24e51ff15c0	windir	C:\Windows
580	winlogon.exe	0x1c4237a15c0	ALLUSERSPROFILE	C:\ProgramData
580	winlogon.exe	0x1c4237a15c0	CommonProgramFiles	C:\Program Files\Common Files
580	winlogon.exe	0x1c4237a15c0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
580	winlogon.exe	0x1c4237a15c0	CommonProgramW6432	C:\Program Files\Common Files
580	winlogon.exe	0x1c4237a15c0	COMPUTERNAME	DESKTOP-G8BLC8O
580	winlogon.exe	0x1c4237a15c0	ComSpec	C:\Windows\system32\cmd.exe
580	winlogon.exe	0x1c4237a15c0	DriverData	C:\Windows\System32\Drivers\DriverData
580	winlogon.exe	0x1c4237a15c0	NUMBER_OF_PROCESSORS	2
580	winlogon.exe	0x1c4237a15c0	OS	Windows_NT
580	winlogon.exe	0x1c4237a15c0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\
580	winlogon.exe	0x1c4237a15c0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
580	winlogon.exe	0x1c4237a15c0	PROCESSOR_ARCHITECTURE	AMD64
580	winlogon.exe	0x1c4237a15c0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
580	winlogon.exe	0x1c4237a15c0	PROCESSOR_LEVEL	6
580	winlogon.exe	0x1c4237a15c0	PROCESSOR_REVISION	a502
580	winlogon.exe	0x1c4237a15c0	ProgramData	C:\ProgramData
580	winlogon.exe	0x1c4237a15c0	ProgramFiles	C:\Program Files
580	winlogon.exe	0x1c4237a15c0	ProgramFiles(x86)	C:\Program Files (x86)
580	winlogon.exe	0x1c4237a15c0	ProgramW6432	C:\Program Files
580	winlogon.exe	0x1c4237a15c0	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
580	winlogon.exe	0x1c4237a15c0	PUBLIC	C:\Users\Public
580	winlogon.exe	0x1c4237a15c0	SystemDrive	C:
580	winlogon.exe	0x1c4237a15c0	SystemRoot	C:\Windows
580	winlogon.exe	0x1c4237a15c0	TEMP	C:\Windows\TEMP
580	winlogon.exe	0x1c4237a15c0	TMP	C:\Windows\TEMP
580	winlogon.exe	0x1c4237a15c0	USERNAME	SYSTEM
580	winlogon.exe	0x1c4237a15c0	USERPROFILE	C:\Windows\system32\config\systemprofile
580	winlogon.exe	0x1c4237a15c0	windir	C:\Windows
620	services.exe	0x20316c03120	ALLUSERSPROFILE	C:\ProgramData
620	services.exe	0x20316c03120	CommonProgramFiles	C:\Program Files\Common Files
620	services.exe	0x20316c03120	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
620	services.exe	0x20316c03120	CommonProgramW6432	C:\Program Files\Common Files
620	services.exe	0x20316c03120	COMPUTERNAME	DESKTOP-G8BLC8O
620	services.exe	0x20316c03120	ComSpec	C:\Windows\system32\cmd.exe
620	services.exe	0x20316c03120	DriverData	C:\Windows\System32\Drivers\DriverData
620	services.exe	0x20316c03120	NUMBER_OF_PROCESSORS	2
620	services.exe	0x20316c03120	OS	Windows_NT
620	services.exe	0x20316c03120	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\
620	services.exe	0x20316c03120	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
620	services.exe	0x20316c03120	PROCESSOR_ARCHITECTURE	AMD64
620	services.exe	0x20316c03120	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
620	services.exe	0x20316c03120	PROCESSOR_LEVEL	6
620	services.exe	0x20316c03120	PROCESSOR_REVISION	a502
620	services.exe	0x20316c03120	ProgramData	C:\ProgramData
620	services.exe	0x20316c03120	ProgramFiles	C:\Program Files
620	services.exe	0x20316c03120	ProgramFiles(x86)	C:\Program Files (x86)
620	services.exe	0x20316c03120	ProgramW6432	C:\Program Files
620	services.exe	0x20316c03120	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
620	services.exe	0x20316c03120	PUBLIC	C:\Users\Public
620	services.exe	0x20316c03120	SystemDrive	C:
620	services.exe	0x20316c03120	SystemRoot	C:\Windows
620	services.exe	0x20316c03120	TEMP	C:\Windows\TEMP
620	services.exe	0x20316c03120	TMP	C:\Windows\TEMP
620	services.exe	0x20316c03120	USERNAME	SYSTEM
620	services.exe	0x20316c03120	USERPROFILE	C:\Windows\system32\config\systemprofile
620	services.exe	0x20316c03120	windir	C:\Windows
640	lsass.exe	0x2175b803120	ALLUSERSPROFILE	C:\ProgramData
640	lsass.exe	0x2175b803120	CommonProgramFiles	C:\Program Files\Common Files
640	lsass.exe	0x2175b803120	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
640	lsass.exe	0x2175b803120	CommonProgramW6432	C:\Program Files\Common Files
640	lsass.exe	0x2175b803120	COMPUTERNAME	DESKTOP-G8BLC8O
640	lsass.exe	0x2175b803120	ComSpec	C:\Windows\system32\cmd.exe
640	lsass.exe	0x2175b803120	DriverData	C:\Windows\System32\Drivers\DriverData
640	lsass.exe	0x2175b803120	NUMBER_OF_PROCESSORS	2
640	lsass.exe	0x2175b803120	OS	Windows_NT
640	lsass.exe	0x2175b803120	Path	C:\Windows\System32
640	lsass.exe	0x2175b803120	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
640	lsass.exe	0x2175b803120	PROCESSOR_ARCHITECTURE	AMD64
640	lsass.exe	0x2175b803120	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
640	lsass.exe	0x2175b803120	PROCESSOR_LEVEL	6
640	lsass.exe	0x2175b803120	PROCESSOR_REVISION	a502
640	lsass.exe	0x2175b803120	ProgramData	C:\ProgramData
640	lsass.exe	0x2175b803120	ProgramFiles	C:\Program Files
640	lsass.exe	0x2175b803120	ProgramFiles(x86)	C:\Program Files (x86)
640	lsass.exe	0x2175b803120	ProgramW6432	C:\Program Files
640	lsass.exe	0x2175b803120	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
640	lsass.exe	0x2175b803120	PUBLIC	C:\Users\Public
640	lsass.exe	0x2175b803120	SystemDrive	C:
640	lsass.exe	0x2175b803120	SystemRoot	C:\Windows
640	lsass.exe	0x2175b803120	TEMP	C:\Windows\TEMP
640	lsass.exe	0x2175b803120	TMP	C:\Windows\TEMP
640	lsass.exe	0x2175b803120	USERNAME	SYSTEM
640	lsass.exe	0x2175b803120	USERPROFILE	C:\Windows\system32\config\systemprofile
640	lsass.exe	0x2175b803120	windir	C:\Windows
640	lsass.exe	0x2175b803120	TMP	C:\Windows\TEMP
640	lsass.exe	0x2175b803120	USERNAME	SYSTEM
640	lsass.exe	0x2175b803120	USERPROFILE	C:\Windows\system32\config\systemprofile
640	lsass.exe	0x2175b803120	windir	C:\Windows
744	svchost.exe	0x14719003300	ALLUSERSPROFILE	C:\ProgramData
744	svchost.exe	0x14719003300	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
744	svchost.exe	0x14719003300	CommonProgramFiles	C:\Program Files\Common Files
744	svchost.exe	0x14719003300	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
744	svchost.exe	0x14719003300	CommonProgramW6432	C:\Program Files\Common Files
744	svchost.exe	0x14719003300	COMPUTERNAME	DESKTOP-G8BLC8O
744	svchost.exe	0x14719003300	ComSpec	C:\Windows\system32\cmd.exe
744	svchost.exe	0x14719003300	DriverData	C:\Windows\System32\Drivers\DriverData
744	svchost.exe	0x14719003300	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
744	svchost.exe	0x14719003300	NUMBER_OF_PROCESSORS	2
744	svchost.exe	0x14719003300	OS	Windows_NT
744	svchost.exe	0x14719003300	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Windows\system32\config\systemprofile\AppData\Local\Microsoft\WindowsApps
744	svchost.exe	0x14719003300	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
744	svchost.exe	0x14719003300	PROCESSOR_ARCHITECTURE	AMD64
744	svchost.exe	0x14719003300	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
744	svchost.exe	0x14719003300	PROCESSOR_LEVEL	6
744	svchost.exe	0x14719003300	PROCESSOR_REVISION	a502
744	svchost.exe	0x14719003300	ProgramData	C:\ProgramData
744	svchost.exe	0x14719003300	ProgramFiles	C:\Program Files
744	svchost.exe	0x14719003300	ProgramFiles(x86)	C:\Program Files (x86)
744	svchost.exe	0x14719003300	ProgramW6432	C:\Program Files
744	svchost.exe	0x14719003300	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
744	svchost.exe	0x14719003300	PUBLIC	C:\Users\Public
744	svchost.exe	0x14719003300	SystemDrive	C:
744	svchost.exe	0x14719003300	SystemRoot	C:\Windows
744	svchost.exe	0x14719003300	TEMP	C:\Windows\TEMP
744	svchost.exe	0x14719003300	TMP	C:\Windows\TEMP
744	svchost.exe	0x14719003300	USERDOMAIN	WORKGROUP
744	svchost.exe	0x14719003300	USERNAME	DESKTOP-G8BLC8O$
744	svchost.exe	0x14719003300	USERPROFILE	C:\Windows\system32\config\systemprofile
744	svchost.exe	0x14719003300	windir	C:\Windows
872	svchost.exe	0x11d67a03390	ALLUSERSPROFILE	C:\ProgramData
872	svchost.exe	0x11d67a03390	APPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Roaming
872	svchost.exe	0x11d67a03390	CommonProgramFiles	C:\Program Files\Common Files
872	svchost.exe	0x11d67a03390	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
872	svchost.exe	0x11d67a03390	CommonProgramW6432	C:\Program Files\Common Files
872	svchost.exe	0x11d67a03390	COMPUTERNAME	DESKTOP-G8BLC8O
872	svchost.exe	0x11d67a03390	ComSpec	C:\Windows\system32\cmd.exe
872	svchost.exe	0x11d67a03390	DriverData	C:\Windows\System32\Drivers\DriverData
872	svchost.exe	0x11d67a03390	LOCALAPPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Local
872	svchost.exe	0x11d67a03390	NUMBER_OF_PROCESSORS	2
872	svchost.exe	0x11d67a03390	OS	Windows_NT
872	svchost.exe	0x11d67a03390	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\WindowsApps
872	svchost.exe	0x11d67a03390	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
872	svchost.exe	0x11d67a03390	PROCESSOR_ARCHITECTURE	AMD64
872	svchost.exe	0x11d67a03390	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
872	svchost.exe	0x11d67a03390	PROCESSOR_LEVEL	6
872	svchost.exe	0x11d67a03390	PROCESSOR_REVISION	a502
872	svchost.exe	0x11d67a03390	ProgramData	C:\ProgramData
872	svchost.exe	0x11d67a03390	ProgramFiles	C:\Program Files
872	svchost.exe	0x11d67a03390	ProgramFiles(x86)	C:\Program Files (x86)
872	svchost.exe	0x11d67a03390	ProgramW6432	C:\Program Files
872	svchost.exe	0x11d67a03390	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
872	svchost.exe	0x11d67a03390	PUBLIC	C:\Users\Public
872	svchost.exe	0x11d67a03390	SystemDrive	C:
872	svchost.exe	0x11d67a03390	SystemRoot	C:\Windows
872	svchost.exe	0x11d67a03390	TEMP	C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp
872	svchost.exe	0x11d67a03390	TMP	C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp
872	svchost.exe	0x11d67a03390	USERDOMAIN	WORKGROUP
872	svchost.exe	0x11d67a03390	USERNAME	DESKTOP-G8BLC8O$
872	svchost.exe	0x11d67a03390	USERPROFILE	C:\Windows\ServiceProfiles\NetworkService
872	svchost.exe	0x11d67a03390	windir	C:\Windows
948	dwm.exe	0x24e56201910	ALLUSERSPROFILE	C:\ProgramData
948	dwm.exe	0x24e56201910	CommonProgramFiles	C:\Program Files\Common Files
948	dwm.exe	0x24e56201910	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
948	dwm.exe	0x24e56201910	CommonProgramW6432	C:\Program Files\Common Files
948	dwm.exe	0x24e56201910	COMPUTERNAME	DESKTOP-G8BLC8O
948	dwm.exe	0x24e56201910	ComSpec	C:\Windows\system32\cmd.exe
948	dwm.exe	0x24e56201910	DriverData	C:\Windows\System32\Drivers\DriverData
948	dwm.exe	0x24e56201910	NUMBER_OF_PROCESSORS	2
948	dwm.exe	0x24e56201910	OS	Windows_NT
948	dwm.exe	0x24e56201910	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\
948	dwm.exe	0x24e56201910	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
948	dwm.exe	0x24e56201910	PROCESSOR_ARCHITECTURE	AMD64
948	dwm.exe	0x24e56201910	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
948	dwm.exe	0x24e56201910	PROCESSOR_LEVEL	6
948	dwm.exe	0x24e56201910	PROCESSOR_REVISION	a502
948	dwm.exe	0x24e56201910	ProgramData	C:\ProgramData
948	dwm.exe	0x24e56201910	ProgramFiles	C:\Program Files
948	dwm.exe	0x24e56201910	ProgramFiles(x86)	C:\Program Files (x86)
948	dwm.exe	0x24e56201910	ProgramW6432	C:\Program Files
948	dwm.exe	0x24e56201910	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
948	dwm.exe	0x24e56201910	PUBLIC	C:\Users\Public
948	dwm.exe	0x24e56201910	SystemDrive	C:
948	dwm.exe	0x24e56201910	SystemRoot	C:\Windows
948	dwm.exe	0x24e56201910	TEMP	C:\Windows\TEMP
948	dwm.exe	0x24e56201910	TMP	C:\Windows\TEMP
948	dwm.exe	0x24e56201910	USERNAME	SYSTEM
948	dwm.exe	0x24e56201910	USERPROFILE	C:\Windows\system32\config\systemprofile
948	dwm.exe	0x24e56201910	windir	C:\Windows
400	svchost.exe	0x159a7e03300	ALLUSERSPROFILE	C:\ProgramData
400	svchost.exe	0x159a7e03300	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
400	svchost.exe	0x159a7e03300	CommonProgramFiles	C:\Program Files\Common Files
400	svchost.exe	0x159a7e03300	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
400	svchost.exe	0x159a7e03300	CommonProgramW6432	C:\Program Files\Common Files
400	svchost.exe	0x159a7e03300	COMPUTERNAME	DESKTOP-G8BLC8O
400	svchost.exe	0x159a7e03300	ComSpec	C:\Windows\system32\cmd.exe
400	svchost.exe	0x159a7e03300	DriverData	C:\Windows\System32\Drivers\DriverData
400	svchost.exe	0x159a7e03300	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
400	svchost.exe	0x159a7e03300	NUMBER_OF_PROCESSORS	2
400	svchost.exe	0x159a7e03300	OS	Windows_NT
400	svchost.exe	0x159a7e03300	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Windows\system32\config\systemprofile\AppData\Local\Microsoft\WindowsApps
400	svchost.exe	0x159a7e03300	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
400	svchost.exe	0x159a7e03300	PROCESSOR_ARCHITECTURE	AMD64
400	svchost.exe	0x159a7e03300	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
400	svchost.exe	0x159a7e03300	PROCESSOR_LEVEL	6
400	svchost.exe	0x159a7e03300	PROCESSOR_REVISION	a502
400	svchost.exe	0x159a7e03300	ProgramData	C:\ProgramData
400	svchost.exe	0x159a7e03300	ProgramFiles	C:\Program Files
400	svchost.exe	0x159a7e03300	ProgramFiles(x86)	C:\Program Files (x86)
400	svchost.exe	0x159a7e03300	ProgramW6432	C:\Program Files
400	svchost.exe	0x159a7e03300	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
400	svchost.exe	0x159a7e03300	PUBLIC	C:\Users\Public
400	svchost.exe	0x159a7e03300	SystemDrive	C:
400	svchost.exe	0x159a7e03300	SystemRoot	C:\Windows
400	svchost.exe	0x159a7e03300	TEMP	C:\Windows\TEMP
400	svchost.exe	0x159a7e03300	TMP	C:\Windows\TEMP
400	svchost.exe	0x159a7e03300	USERDOMAIN	WORKGROUP
400	svchost.exe	0x159a7e03300	USERNAME	DESKTOP-G8BLC8O$
400	svchost.exe	0x159a7e03300	USERPROFILE	C:\Windows\system32\config\systemprofile
400	svchost.exe	0x159a7e03300	windir	C:\Windows
336	svchost.exe	0x18cdbc03380	ALLUSERSPROFILE	C:\ProgramData
336	svchost.exe	0x18cdbc03380	APPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming
336	svchost.exe	0x18cdbc03380	CommonProgramFiles	C:\Program Files\Common Files
336	svchost.exe	0x18cdbc03380	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
336	svchost.exe	0x18cdbc03380	CommonProgramW6432	C:\Program Files\Common Files
336	svchost.exe	0x18cdbc03380	COMPUTERNAME	DESKTOP-G8BLC8O
336	svchost.exe	0x18cdbc03380	ComSpec	C:\Windows\system32\cmd.exe
336	svchost.exe	0x18cdbc03380	DriverData	C:\Windows\System32\Drivers\DriverData
336	svchost.exe	0x18cdbc03380	LOCALAPPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Local
336	svchost.exe	0x18cdbc03380	NUMBER_OF_PROCESSORS	2
336	svchost.exe	0x18cdbc03380	OS	Windows_NT
336	svchost.exe	0x18cdbc03380	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\WindowsApps
336	svchost.exe	0x18cdbc03380	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
336	svchost.exe	0x18cdbc03380	PROCESSOR_ARCHITECTURE	AMD64
336	svchost.exe	0x18cdbc03380	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
336	svchost.exe	0x18cdbc03380	PROCESSOR_LEVEL	6
336	svchost.exe	0x18cdbc03380	PROCESSOR_REVISION	a502
336	svchost.exe	0x18cdbc03380	ProgramData	C:\ProgramData
336	svchost.exe	0x18cdbc03380	ProgramFiles	C:\Program Files
336	svchost.exe	0x18cdbc03380	ProgramFiles(x86)	C:\Program Files (x86)
336	svchost.exe	0x18cdbc03380	ProgramW6432	C:\Program Files
336	svchost.exe	0x18cdbc03380	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
336	svchost.exe	0x18cdbc03380	PUBLIC	C:\Users\Public
336	svchost.exe	0x18cdbc03380	SystemDrive	C:
336	svchost.exe	0x18cdbc03380	SystemRoot	C:\Windows
336	svchost.exe	0x18cdbc03380	TEMP	C:\Windows\SERVIC~1\LOCALS~1\AppData\Local\Temp
336	svchost.exe	0x18cdbc03380	TMP	C:\Windows\SERVIC~1\LOCALS~1\AppData\Local\Temp
336	svchost.exe	0x18cdbc03380	USERDOMAIN	NT AUTHORITY
336	svchost.exe	0x18cdbc03380	USERNAME	LOCAL SERVICE
336	svchost.exe	0x18cdbc03380	USERPROFILE	C:\Windows\ServiceProfiles\LocalService
336	svchost.exe	0x18cdbc03380	windir	C:\Windows
576	svchost.exe	0x1c83aa03380	ALLUSERSPROFILE	C:\ProgramData
576	svchost.exe	0x1c83aa03380	APPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming
576	svchost.exe	0x1c83aa03380	CommonProgramFiles	C:\Program Files\Common Files
576	svchost.exe	0x1c83aa03380	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
576	svchost.exe	0x1c83aa03380	CommonProgramW6432	C:\Program Files\Common Files
576	svchost.exe	0x1c83aa03380	COMPUTERNAME	DESKTOP-G8BLC8O
576	svchost.exe	0x1c83aa03380	ComSpec	C:\Windows\system32\cmd.exe
576	svchost.exe	0x1c83aa03380	DriverData	C:\Windows\System32\Drivers\DriverData
576	svchost.exe	0x1c83aa03380	LOCALAPPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Local
576	svchost.exe	0x1c83aa03380	NUMBER_OF_PROCESSORS	2
576	svchost.exe	0x1c83aa03380	OS	Windows_NT
576	svchost.exe	0x1c83aa03380	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\WindowsApps
576	svchost.exe	0x1c83aa03380	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
576	svchost.exe	0x1c83aa03380	PROCESSOR_ARCHITECTURE	AMD64
576	svchost.exe	0x1c83aa03380	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
576	svchost.exe	0x1c83aa03380	PROCESSOR_LEVEL	6
576	svchost.exe	0x1c83aa03380	PROCESSOR_REVISION	a502
576	svchost.exe	0x1c83aa03380	ProgramData	C:\ProgramData
576	svchost.exe	0x1c83aa03380	ProgramFiles	C:\Program Files
576	svchost.exe	0x1c83aa03380	ProgramFiles(x86)	C:\Program Files (x86)
576	svchost.exe	0x1c83aa03380	ProgramW6432	C:\Program Files
576	svchost.exe	0x1c83aa03380	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
576	svchost.exe	0x1c83aa03380	PUBLIC	C:\Users\Public
576	svchost.exe	0x1c83aa03380	SystemDrive	C:
576	svchost.exe	0x1c83aa03380	SystemRoot	C:\Windows
576	svchost.exe	0x1c83aa03380	TEMP	C:\Windows\SERVIC~1\LOCALS~1\AppData\Local\Temp
576	svchost.exe	0x1c83aa03380	TMP	C:\Windows\SERVIC~1\LOCALS~1\AppData\Local\Temp
576	svchost.exe	0x1c83aa03380	USERDOMAIN	NT AUTHORITY
