Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Dec 11 18:16:27 2021
Invocation: foremost memdump.mem 
Output directory: /mnt/d/CTFs/2021/НТО, 2-й этап/Windows moment/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: memdump.mem
Start: Sat Dec 11 18:16:27 2021
Length: 2 GB (2147483648 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 
67:	00339392.dll 	       8 KB 	  173768704 	 01/01/1970 00:00:00
68:	00361136.dll 	     578 KB 	  184901632 	 01/22/2019 18:28:53
69:	00372368.dll 	     171 KB 	  190652416 	 10/08/2066 21:04:55
70:	00393464.dll 	      68 KB 	  201453568 	 01/27/2038 22:02:37
71:	00394848.dll 	       1 MB 	  202162176 	 09/07/2037 06:27:55
72:	00239538.png 	       1 KB 	  122643560 	  (128 x 128)
73:	00297448.png 	      727 B 	  152293376 	  (30 x 30)
74:	00331297.png 	      314 B 	  169624152 	  (142 x 142)
75:	00346192.png 	       96 B 	  177250336 	  (21 x 24)
76:	00346192_1.png 	      100 B 	  177250432 	  (28 x 32)
77:	00346192_2.png 	      104 B 	  177250536 	  (35 x 40)
78:	00346192_3.png 	      116 B 	  177250640 	  (14 x 16)
79:	00346192_4.png 	      166 B 	  177250760 	  (21 x 24)
80:	00346193.png 	      140 B 	  177250928 	  (28 x 32)
81:	00346193_1.png 	      181 B 	  177251072 	  (35 x 40)
82:	00346193_2.png 	      134 B 	  177251256 	  (14 x 16)
83:	00346194.png 	      134 B 	  177251392 	  (14 x 16)
84:	00346194_1.png 	      182 B 	  177251528 	  (16 x 16)
85:	00346194_2.png 	      250 B 	  177251712 	  (24 x 24)
86:	00346195.png 	      310 B 	  177251968 	  (32 x 32)
87:	00346195_1.png 	      364 B 	  177252280 	  (40 x 40)
88:	00346196.png 	      864 B 	  177252648 	  (28 x 28)
89:	00408677.png 	      221 B 	  209242712 	  (44 x 44)
90:	00409456.png 	      803 B 	  209641472 	  (225 x 225)
91:	00452056.jpg 	     444 KB 	  231452672 	 
92:	00463864.gif 	       43 B 	  237498550 	  (1 x 1)
93:	00463865.gif 	       43 B 	  237498889 	  (1 x 1)
94:	00434674.bmp 	      450 B 	  222553120 	  (11 x 11)
95:	00434674_1.bmp 	      450 B 	  222553584 	  (11 x 11)
96:	00434675.bmp 	      822 B 	  222554048 	  (16 x 16)
97:	00434677.bmp 	      822 B 	  222554880 	  (16 x 16)
98:	00434679.bmp 	      822 B 	  222555712 	  (16 x 16)
99:	00552003.bmp 	       4 KB 	  282625710 	  (32 x 32)
100:	00552018.bmp 	       4 KB 	  282633426 	  (32 x 32)
101:	00554122.bmp 	       4 KB 	  283710498 	  (32 x 32)
102:	00565748.bmp 	       9 KB 	  289663250 	  (48 x 48)
103:	00570256.bmp 	       4 KB 	  291971072 	  (32 x 32)
104:	00570648.bmp 	       4 KB 	  292171776 	  (32 x 32)
105:	00572544.bmp 	       4 KB 	  293142528 	  (32 x 32)
106:	00572592.bmp 	       4 KB 	  293167104 	  (32 x 32)
107:	00612667.bmp 	       1 KB 	  313685520 	  (16 x 16)
108:	00420982.htm 	       26 B 	  215542912 	 
109:	00417144.dll 	       1 MB 	  213577728 	 01/27/2067 04:47:11
110:	00425336.dll 	      27 KB 	  217772032 	 01/01/1970 00:00:00
111:	00439208.dll 	     107 KB 	  224874496 	 04/06/2001 15:11:58
112:	00464584.dll 	      19 KB 	  237867008 	 01/01/1970 00:00:00
113:	00466032.dll 	     781 KB 	  238608384 	 01/01/1970 00:00:00
114:	00471018.dll 	      71 KB 	  241161240 	 10/09/2008 23:57:06
115:	00514720.dll 	       1 MB 	  263536640 	 10/18/2052 03:38:17
116:	00532816.dll 	      73 KB 	  272801792 	 01/01/1970 00:00:00
117:	00533360.dll 	      28 KB 	  273080320 	 01/01/1970 00:00:00
118:	00534400.dll 	      33 KB 	  273612800 	 01/01/1970 00:00:00
119:	00534552.dll 	      11 KB 	  273690624 	 01/01/1970 00:00:00
120:	00534632.dll 	      68 KB 	  273731584 	 01/01/1970 00:00:00
121:	00535096.dll 	      55 KB 	  273969152 	 01/01/1970 00:00:00
122:	00535608.dll 	       6 KB 	  274231296 	 01/01/1970 00:00:00
123:	00538608.dll 	      92 KB 	  275767296 	 06/14/2056 07:35:27
124:	00540056.dll 	       8 KB 	  276508672 	 01/01/1970 00:00:00
125:	00542360.dll 	     358 KB 	  277688320 	 04/26/2062 17:44:26
126:	00553000.dll 	      92 KB 	  283136000 	 06/14/2056 07:35:27
127:	00553944.dll 	      22 KB 	  283619328 	 10/03/2068 12:44:31
128:	00554000.dll 	     148 KB 	  283648000 	 05/19/2010 12:09:41
129:	00555040.dll 	       2 MB 	  284180480 	 03/29/2087 16:22:51
130:	00564576.dll 	      84 KB 	  289062912 	 06/30/1997 06:13:54
131:	00566888.dll 	     358 KB 	  290246656 	 04/26/2062 17:44:26
132:	00572448.dll 	     173 KB 	  293093376 	 01/01/1970 00:00:00
133:	00585888.dll 	      25 KB 	  299974656 	 01/01/1970 00:00:00
134:	00586104.dll 	      18 KB 	  300085248 	 01/01/1970 00:00:00
135:	00586640.dll 	       3 KB 	  300359680 	 01/01/1970 00:00:00
136:	00598248.dll 	       9 KB 	  306302976 	 10/09/2008 23:57:06
137:	00598712.dll 	      30 KB 	  306540544 	 01/01/1970 00:00:00
138:	00599304.dll 	      42 KB 	  306843648 	 01/01/1970 00:00:00
139:	00599488.dll 	     160 KB 	  306937856 	 01/01/1970 00:00:00
140:	00600024.dll 	      31 KB 	  307212288 	 10/09/2008 23:57:06
141:	00600128.dll 	     171 KB 	  307265536 	 01/01/1970 00:00:00
142:	00600472.dll 	      65 KB 	  307441664 	 01/01/1970 00:00:00
143:	00600872.dll 	      24 KB 	  307646464 	 01/01/1970 00:00:00
144:	00605360.dll 	       3 KB 	  309944320 	 01/01/1970 00:00:00
145:	00410062.png 	      369 B 	  209952032 	  (44 x 44)
146:	00424303.png 	      315 B 	  217243208 	  (44 x 44)
147:	00429336.png 	      802 B 	  219820032 	  (30 x 30)
148:	00429454.png 	      251 B 	  219880928 	  (71 x 71)
149:	00432200.png 	      874 B 	  221286624 	  (28 x 28)
150:	00432202.png 	      507 B 	  221287504 	  (22 x 21)
151:	00432203.png 	      102 B 	  221288016 	  (22 x 24)
152:	00432203_1.png 	      415 B 	  221288120 	  (25 x 24)
153:	00432204.png 	      119 B 	  221288536 	  (25 x 26)
154:	00432204_1.png 	      609 B 	  221288656 	  (29 x 28)
155:	00432205.png 	      118 B 	  221289272 	  (29 x 37)
156:	00432205_1.png 	      751 B 	  221289392 	  (31 x 30)
157:	00432207.png 	      141 B 	  221290144 	  (31 x 40)
158:	00441304.png 	      485 B 	  225947648 	  (150 x 150)
159:	00447808.png 	       2 KB 	  229277696 	  (300 x 300)
160:	00449216.png 	      457 B 	  229998592 	  (150 x 150)
161:	00450696.png 	       1 KB 	  230756352 	  (150 x 150)
162:	00451240.png 	       1 KB 	  231034880 	  (61 x 61)
163:	00451640.png 	      448 B 	  231239680 	  (150 x 150)
164:	00451728.png 	      734 B 	  231284736 	  (44 x 44)
165:	00453296.png 	       1 KB 	  232087552 	  (79 x 79)
166:	00465080.png 	      112 B 	  238121344 	  (50 x 50)
167:	00465080_1.png 	      629 B 	  238121456 	  (66 x 63)
168:	00465082.png 	      118 B 	  238122088 	  (66 x 69)
169:	00465082_1.png 	      391 B 	  238122208 	  (40 x 40)
170:	00465083.png 	      405 B 	  238122600 	  (40 x 40)
171:	00465084.png 	      328 B 	  238123008 	  (40 x 40)
172:	00465084_1.png 	      397 B 	  238123336 	  (40 x 40)
173:	00465085.png 	      431 B 	  238123736 	  (40 x 40)
174:	00465086.png 	      449 B 	  238124168 	  (40 x 40)
175:	00465087.png 	      372 B 	  238124624 	  (40 x 40)
176:	00531936.png 	       1 KB 	  272351232 	  (44 x 44)
177:	00552256.png 	       1 KB 	  282755072 	  (620 x 300)
178:	00568272.png 	      307 B 	  290955264 	  (32 x 32)
179:	00582627.png 	      144 B 	  298305080 	  (24 x 24)
180:	00582659.png 	      183 B 	  298321464 	  (50 x 50)
181:	00583168.png 	      430 B 	  298582232 	  (24 x 24)
182:	00583169.png 	      489 B 	  298582664 	  (28 x 28)
183:	00583170.png 	      249 B 	  298583160 	  (24 x 24)
184:	00583170_1.png 	      281 B 	  298583416 	  (24 x 24)
185:	00583171.png 	      317 B 	  298583704 	  (28 x 28)
186:	00583171_1.png 	      322 B 	  298584024 	  (24 x 24)
187:	00583172.png 	      419 B 	  298584352 	  (25 x 24)
188:	00583173.png 	      459 B 	  298584776 	  (28 x 28)
189:	00583174.png 	      322 B 	  298585240 	  (24 x 24)
190:	00583174_1.png 	      384 B 	  298585568 	  (24 x 24)
191:	00586671.png 	      307 B 	  300375688 	  (32 x 32)
192:	00599768.png 	      430 B 	  307081432 	  (24 x 24)
193:	00599769.png 	      489 B 	  307081864 	  (28 x 28)
194:	00599770.png 	      249 B 	  307082360 	  (24 x 24)
195:	00599770_1.png 	      281 B 	  307082616 	  (24 x 24)
196:	00599771.png 	      317 B 	  307082904 	  (28 x 28)
197:	00599771_1.png 	      322 B 	  307083224 	  (24 x 24)
198:	00599772.png 	      419 B 	  307083552 	  (25 x 24)
199:	00599773.png 	      459 B 	  307083976 	  (28 x 28)
200:	00599774.png 	      322 B 	  307084440 	  (24 x 24)
201:	00599774_1.png 	      384 B 	  307084768 	  (24 x 24)
202:	00613432.png 	       96 B 	  314077216 	  (21 x 24)
203:	00613432_1.png 	      100 B 	  314077312 	  (28 x 32)
204:	00613432_2.png 	      104 B 	  314077416 	  (35 x 40)
205:	00613432_3.png 	      116 B 	  314077520 	  (14 x 16)
206:	00613432_4.png 	      166 B 	  314077640 	  (21 x 24)
207:	00613433.png 	      140 B 	  314077808 	  (28 x 32)
208:	00613433_1.png 	      181 B 	  314077952 	  (35 x 40)
209:	00613433_2.png 	      134 B 	  314078136 	  (14 x 16)
210:	00613434.png 	      134 B 	  314078272 	  (14 x 16)
211:	00613434_1.png 	      182 B 	  314078408 	  (16 x 16)
212:	00613434_2.png 	      250 B 	  314078592 	  (24 x 24)
213:	00613435.png 	      310 B 	  314078848 	  (32 x 32)
214:	00613435_1.png 	      364 B 	  314079160 	  (40 x 40)
215:	00613436.png 	      864 B 	  314079528 	  (28 x 28)
216:	00620569.gif 	       43 B 	  317731591 	  (1 x 1)
217:	00620570.gif 	       43 B 	  317731928 	  (1 x 1)
218:	00643096.bmp 	       4 KB 	  329265152 	  (32 x 32)
219:	00680400.bmp 	       4 KB 	  348364800 	  (32 x 32)
220:	00719930.bmp 	       4 KB 	  368604370 	  (32 x 32)
221:	00795140.bmp 	       4 KB 	  407111888 	  (32 x 32)
222:	00799865.bmp 	       4 KB 	  409531122 	  (32 x 32)
223:	00699638.htm 	       26 B 	  358214784 	 
224:	00703567.zip 	      23 MB 	  360226812 	 
225:	00626968.dll 	      18 KB 	  321007616 	 04/16/2077 00:49:17
226:	00629848.dll 	     267 KB 	  322482176 	 04/30/2083 15:55:38
227:	00640312.dll 	       2 KB 	  327839744 	 10/14/2035 22:13:08
228:	00640952.dll 	      21 KB 	  328167424 	 04/30/1986 23:58:11
229:	00641152.dll 	      48 KB 	  328269824 	 08/28/1991 00:46:08
230:	00643784.dll 	       1 MB 	  329617408 	 07/21/2046 13:19:59
231:	00647112.dll 	      91 KB 	  331321344 	 01/01/1970 00:00:00
232:	00665768.dll 	       9 KB 	  340873216 	 01/01/1970 00:00:00
233:	00678112.dll 	     173 KB 	  347193344 	 01/01/1970 00:00:00
234:	00682168.dll 	      68 KB 	  349270016 	 01/27/2038 22:02:37
235:	00687312.dll 	     976 KB 	  351903744 	 03/24/2039 11:42:22
236:	00689840.dll 	     578 KB 	  353198080 	 01/22/2019 18:28:53
237:	00702544.dll 	       1 MB 	  359702528 	 01/22/2019 18:28:41
238:	00706728.dll 	      86 KB 	  361844736 	 04/07/2072 22:58:53
239:	00707224.dll 	       1 MB 	  362098688 	 03/02/2019 07:41:50
240:	00712384.dll 	      17 KB 	  364740608 	 01/01/1970 00:00:00
241:	00720120.exe 	       1 MB 	  368701440 	 12/20/2019 02:30:37
242:	00741168.dll 	     167 KB 	  379478016 	 03/19/2019 01:23:37
243:	00746184.dll 	     284 KB 	  382046208 	 01/22/2019 18:28:41
244:	00754776.dll 	       3 KB 	  386445312 	 01/01/1970 00:00:00
245:	00755600.dll 	       3 KB 	  386867200 	 01/22/2019 18:32:32
246:	00755624.dll 	       3 KB 	  386879488 	 01/22/2019 18:32:31
247:	00757624.dll 	       3 KB 	  387903488 	 01/22/2019 18:32:33
248:	00757696.dll 	      22 KB 	  387940352 	 10/03/2068 12:44:31
249:	00787152.dll 	       9 KB 	  403021824 	 01/01/1970 00:00:00
250:	00787248.dll 	     405 KB 	  403070976 	 01/01/1970 00:00:00
251:	00788064.dll 	       4 KB 	  403488768 	 01/01/1970 00:00:00
252:	00790216.dll 	      12 KB 	  404590592 	 01/01/1970 00:00:00
253:	00792384.dll 	      33 KB 	  405700608 	 01/01/1970 00:00:00
254:	00795912.dll 	       2 KB 	  407506944 	 01/01/1970 00:00:00
255:	00802776.dll 	     548 KB 	  411021312 	 01/01/1970 00:00:00
256:	00649376.png 	      251 B 	  332480512 	  (44 x 44)
257:	00668840.png 	      308 B 	  342446080 	  (32 x 32)
258:	00720832.png 	      424 B 	  369065984 	  (44 x 44)
259:	00726080.png 	      863 B 	  371752960 	  (44 x 44)
260:	00726624.png 	      437 B 	  372031488 	  (150 x 150)
261:	00743848.png 	      802 B 	  380850176 	  (30 x 30)
262:	00761600.png 	      589 B 	  389939200 	  (150 x 150)
263:	00761608.png 	      430 B 	  389943296 	  (44 x 44)
264:	00768312.png 	       1 KB 	  393376224 	  (93 x 40)
265:	00768315.png 	       1 KB 	  393377488 	  (144 x 40)
266:	00782256.png 	      144 B 	  400515144 	  (32 x 32)
267:	00782256_1.png 	      160 B 	  400515288 	  (40 x 40)
268:	00782256_2.png 	      179 B 	  400515448 	  (48 x 48)
269:	00782257.png 	      186 B 	  400515632 	  (50 x 50)
270:	00782257_1.png 	      194 B 	  400515824 	  (60 x 60)
271:	00782257_2.png 	      209 B 	  400516024 	  (64 x 64)
272:	00782258.png 	      227 B 	  400516240 	  (80 x 80)
273:	00782258_1.png 	      112 B 	  400516472 	  (16 x 16)
274:	00782258_2.png 	      112 B 	  400516584 	  (20 x 20)
275:	00782259.png 	      116 B 	  400516696 	  (24 x 24)
276:	00782259_1.png 	      119 B 	  400516816 	  (25 x 25)
277:	00782259_2.png 	      122 B 	  400516936 	  (30 x 30)
278:	00782259_3.png 	      141 B 	  400517064 	  (32 x 32)
279:	00782260.png 	      159 B 	  400517208 	  (40 x 40)
280:	00782260_1.png 	      172 B 	  400517368 	  (48 x 48)
281:	00782260_2.png 	      177 B 	  400517544 	  (50 x 50)
282:	00782261.png 	      189 B 	  400517728 	  (60 x 60)
283:	00782261_1.png 	      205 B 	  400517920 	  (64 x 64)
284:	00782261_2.png 	      221 B 	  400518128 	  (80 x 80)
285:	00782262.png 	      125 B 	  400518352 	  (16 x 16)
286:	00782262_1.png 	      125 B 	  400518480 	  (20 x 20)
287:	00782262_2.png 	      131 B 	  400518608 	  (24 x 24)
288:	00782263.png 	      133 B 	  400518744 	  (25 x 25)
289:	00782263_1.png 	      136 B 	  400518880 	  (30 x 30)
290:	00785896.png 	      384 B 	  402378856 	  (32 x 32)
291:	00785896_1.png 	      333 B 	  402379240 	  (40 x 40)
292:	00785897.png 	      462 B 	  402379576 	  (40 x 40)
293:	00785898.png 	      383 B 	  402380040 	  (48 x 48)
294:	00785899.png 	      497 B 	  402380424 	  (48 x 48)
295:	00785900.png 	      466 B 	  402380928 	  (64 x 64)
296:	00785901.png 	      611 B 	  402381400 	  (64 x 64)
297:	00787224.png 	      637 B 	  403058688 	  (150 x 150)
298:	00788080.png 	      378 B 	  403496960 	  (150 x 150)
299:	00789592.png 	      507 B 	  404271104 	  (150 x 150)
300:	00789648.png 	      247 B 	  404299776 	  (44 x 44)
301:	00790913.png 	      392 B 	  404947512 	  (50 x 50)
302:	00797224.png 	      507 B 	  408178688 	  (150 x 150)
303:	00811172.png 	      287 B 	  415320504 	  (44 x 44)
304:	00812176.png 	       1 KB 	  415834112 	  (256 x 256)
305:	00812456.png 	      477 B 	  415977472 	  (150 x 150)
306:	00812638.png 	      299 B 	  416071160 	  (44 x 44)
307:	00812672.png 	      567 B 	  416088064 	  (150 x 150)
308:	00812920.png 	      494 B 	  416215040 	  (66 x 66)
309:	00812992.png 	      915 B 	  416251904 	  (150 x 150)
310:	00813000.png 	      415 B 	  416256000 	  (44 x 44)
311:	00813400.png 	      352 B 	  416460800 	  (44 x 44)
312:	00814024.png 	      504 B 	  416780288 	  (150 x 150)
313:	00862000.jpg 	     596 KB 	  441344424 	 
314:	00840206.bmp 	       9 KB 	  430185586 	  (48 x 48)
315:	00841286.bmp 	       9 KB 	  430738850 	  (48 x 48)
316:	00842664.bmp 	       9 KB 	  431444370 	  (48 x 48)
317:	00842694.bmp 	       9 KB 	  431459490 	  (48 x 48)
318:	00842721.bmp 	       9 KB 	  431473346 	  (48 x 48)
319:	00843703.bmp 	       9 KB 	  431976258 	  (48 x 48)
320:	00843730.bmp 	       9 KB 	  431990114 	  (48 x 48)
321:	00856697.bmp 	       4 KB 	  438628994 	  (32 x 32)
322:	00857759.bmp 	       4 KB 	  439173042 	  (32 x 32)
323:	00859776.bmp 	       4 KB 	  440205714 	  (32 x 32)
324:	00887720.bmp 	      824 B 	  454512766 	  (16 x 16)
325:	00887721.bmp 	      824 B 	  454513594 	  (16 x 16)
326:	00889381.bmp 	       4 KB 	  455363554 	  (32 x 32)
327:	00889397.bmp 	       4 KB 	  455371266 	  (32 x 32)
328:	00889412.bmp 	       4 KB 	  455378978 	  (32 x 32)
329:	00899615.bmp 	       9 KB 	  460603186 	  (48 x 48)
330:	00919297.bmp 	      822 B 	  470680148 	  (16 x 16)
331:	00919298.bmp 	      824 B 	  470680974 	  (16 x 16)
332:	00919300.bmp 	      824 B 	  470681802 	  (16 x 16)
333:	00919302.bmp 	      824 B 	  470682630 	  (16 x 16)
334:	00919303.bmp 	      824 B 	  470683458 	  (16 x 16)
335:	00933168.bmp 	       1 KB 	  477782130 	  (16 x 16)
336:	00933170.bmp 	       1 KB 	  477783406 	  (16 x 16)
337:	00933173.bmp 	       1 KB 	  477784670 	  (16 x 16)
338:	00933175.bmp 	       1 KB 	  477785938 	  (16 x 16)
339:	00864888.wav 	     144 KB 	  442822656 	 
340:	00952849.avi 	       7 KB 	  487858960 	 
341:	00990408.htm 	       1 KB 	  507089303 	 
342:	00990411.htm 	       1 KB 	  507090847 	 
343:	00821816.dll 	     783 KB 	  420769792 	 01/01/1970 00:00:00
344:	00824560.dll 	      24 KB 	  422174720 	 01/01/1970 00:00:00
345:	00826064.dll 	      46 KB 	  422944768 	 01/01/1970 00:00:00
346:	00834968.dll 	      87 KB 	  427503616 	 01/01/1970 00:00:00
347:	00841952.dll 	       2 KB 	  431079424 	 01/01/1970 00:00:00
348:	00848352.dll 	       8 KB 	  434356224 	 01/01/1970 00:00:00
349:	00854256.dll 	      61 KB 	  437379072 	 01/01/1970 00:00:00
350:	00855328.dll 	     103 KB 	  437927936 	 01/01/1970 00:00:00
351:	00858736.dll 	     162 KB 	  439672832 	 01/01/1970 00:00:00
352:	00860336.dll 	       1 MB 	  440492032 	 01/22/2019 18:28:40
353:	00888320.dll 	       8 KB 	  454819840 	 01/01/1970 00:00:00
354:	00897552.dll 	      10 KB 	  459546624 	 01/01/1970 00:00:00
355:	00901504.dll 	      45 KB 	  461570048 	 01/01/1970 00:00:00
356:	00912792.dll 	     467 KB 	  467349504 	 01/01/1970 00:00:00
357:	00919296.dll 	     299 KB 	  470679552 	 03/02/2019 07:41:44
358:	00938904.dll 	     628 KB 	  480718848 	 01/22/2019 18:28:35
359:	00950512.dll 	       7 KB 	  486662144 	 01/01/1970 00:00:00
360:	00951656.dll 	     756 KB 	  487247872 	 03/19/2019 01:23:37
361:	00962784.dll 	      18 KB 	  492945408 	 01/01/1970 00:00:00
362:	00966968.dll 	     646 KB 	  495087616 	 03/19/2019 05:18:57
363:	00982976.dll 	     170 KB 	  503283712 	 04/16/1997 12:49:32
364:	00985440.dll 	       3 KB 	  504545280 	 01/01/1970 00:00:00
365:	01013824.dll 	       3 KB 	  519077888 	 01/01/1970 00:00:00
366:	01022552.dll 	      18 KB 	  523546624 	 01/01/1970 00:00:00
367:	01022616.dll 	     129 KB 	  523579392 	 03/19/2019 01:23:37
368:	00820576.png 	      123 B 	  420134912 	  (44 x 44)
369:	00821719.png 	      158 B 	  420720168 	  (30 x 30)
370:	00821719_1.png 	      215 B 	  420720328 	  (42 x 42)
371:	00829048.png 	       1 KB 	  424472576 	  (256 x 256)
372:	00829616.png 	      371 B 	  424763392 	  (150 x 150)
373:	00830768.png 	      180 B 	  425353216 	  (16 x 16)
374:	00830834.png 	      232 B 	  425387288 	  (32 x 32)
375:	00830838.png 	      264 B 	  425389336 	  (36 x 36)
376:	00834094.png 	      369 B 	  427056416 	  (44 x 44)
377:	00843368.png 	      482 B 	  431804528 	  (48 x 48)
378:	00843369.png 	      123 B 	  431805016 	  (12 x 12)
379:	00843369_1.png 	      130 B 	  431805144 	  (15 x 15)
380:	00843369_2.png 	      155 B 	  431805280 	  (18 x 18)
381:	00843370.png 	      180 B 	  431805440 	  (24 x 24)
382:	00843370_1.png 	      195 B 	  431805624 	  (30 x 30)
383:	00843370_2.png 	      251 B 	  431805824 	  (36 x 36)
384:	00843371.png 	      297 B 	  431806080 	  (48 x 48)
385:	00843371_1.png 	      209 B 	  431806384 	  (12 x 12)
386:	00843372.png 	      231 B 	  431806600 	  (15 x 15)
387:	00843372_1.png 	      249 B 	  431806832 	  (18 x 18)
388:	00843373.png 	      260 B 	  431807088 	  (24 x 24)
389:	00843373_1.png 	      291 B 	  431807352 	  (30 x 30)
390:	00843374.png 	      324 B 	  431807648 	  (36 x 36)
391:	00843374_1.png 	      423 B 	  431807976 	  (48 x 48)
392:	00843378.png 	      162 B 	  431809872 	  (12 x 12)
393:	00843378_1.png 	      166 B 	  431810040 	  (15 x 15)
394:	00843379.png 	      169 B 	  431810208 	  (18 x 18)
395:	00843379_1.png 	      171 B 	  431810384 	  (24 x 24)
396:	00843380.png 	      187 B 	  431810560 	  (30 x 30)
397:	00843380_1.png 	      195 B 	  431810752 	  (36 x 36)
398:	00843380_2.png 	      211 B 	  431810952 	  (48 x 48)
